timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-05-17 08:08:53,0.00,23.36,2.28,16,healthy
2025-05-17 08:08:59,0.03,23.62,2.31,17,healthy
2025-05-17 08:09:04,5.29,24.36,2.38,10,healthy
2025-05-17 08:09:10,0.03,23.23,2.27,23,healthy
2025-05-17 08:09:15,0.02,23.4,2.29,18,healthy
2025-05-17 08:09:22,99.48,1024,100.00,118,healthy
2025-05-17 08:09:28,0.03,23.47,2.29,17,healthy
2025-05-17 08:09:34,3.92,23.54,2.30,38,healthy
2025-05-17 08:09:41,100.69,1024,100.00,157,healthy
2025-05-17 08:09:47,5.92,23.43,2.29,15,healthy
2025-05-17 08:09:53,101.53,893.1,87.22,222,healthy
2025-05-17 08:09:59,0.24,23.56,2.30,14,healthy
2025-05-17 08:10:05,0.25,23.75,2.32,16,healthy
2025-05-17 08:10:11,0.00,23.32,2.28,15,healthy
2025-05-17 08:10:18,0.24,23.76,2.32,15,healthy
2025-05-17 08:10:24,99.32,1024,100.00,31,healthy
2025-05-17 08:10:30,0.03,23.71,2.32,15,healthy
2025-05-17 08:10:36,9.82,24.04,2.35,27,healthy
2025-05-17 08:10:42,0.02,23.24,2.27,32,healthy
2025-05-17 08:10:48,0.02,23.83,2.33,17,healthy
2025-05-17 08:10:59,20.52,34.72,3.39,3249,healthy
2025-05-17 08:11:06,0.00,11,100.00,18,healthy
2025-05-17 08:11:12,0.00,11,100.00,20,unhealthy
2025-05-17 08:11:17,0.00,11,100.00,20,unhealthy
2025-05-17 08:11:24,0.00,11,100.00,16,unhealthy
2025-05-17 08:11:32,103.91,654.7,63.94,2768,unhealthy
2025-05-17 08:11:35,0.00,11,100.00,6,unhealthy
2025-05-17 08:11:38,0.00,11,100.00,11,unhealthy
2025-05-17 08:11:44,0.00,11,100.00,17,unhealthy
2025-05-17 08:11:48,0.00,11,100.00,74,unhealthy
2025-05-17 08:11:51,0.00,11,100.00,22,unhealthy
2025-05-17 08:11:54,0.00,11,100.00,85,unhealthy
2025-05-17 08:12:02,0.00,11,100.00,37,unhealthy
2025-05-17 08:12:05,0.00,11,100.00,25,unhealthy
2025-05-17 08:12:08,0.00,11,100.00,18,unhealthy
2025-05-17 08:12:11,0.00,11,100.00,10,unhealthy
2025-05-17 08:12:15,0.00,11,100.00,15,unhealthy
2025-05-17 08:12:18,0.00,11,100.00,8,unhealthy
2025-05-17 08:12:21,0.00,11,100.00,13,unhealthy
2025-05-17 08:12:24,0.00,11,100.00,15,unhealthy
2025-05-17 08:12:29,0.02,23.24,2.27,18,healthy
2025-05-17 08:12:37,0.00,11,100.00,15,unhealthy
2025-05-17 08:12:40,0.00,11,100.00,12,unhealthy
2025-05-17 08:12:43,0.00,11,100.00,15,unhealthy
2025-05-17 08:12:46,0.00,11,100.00,11,unhealthy
2025-05-17 08:12:50,0.00,11,100.00,19,unhealthy
2025-05-17 08:12:53,0.00,11,100.00,14,unhealthy
2025-05-17 08:12:56,0.00,11,100.00,11,unhealthy
2025-05-17 08:12:59,0.00,11,100.00,14,unhealthy
2025-05-17 08:13:02,0.00,11,100.00,18,unhealthy
2025-05-17 08:13:06,0.00,11,100.00,16,unhealthy
2025-05-17 08:13:09,0.00,11,100.00,56,unhealthy
2025-05-17 08:13:12,0.00,11,100.00,60,unhealthy
2025-05-17 08:13:15,0.00,11,100.00,39,unhealthy
2025-05-17 08:13:19,0.00,11,100.00,37,unhealthy
2025-05-17 08:13:22,0.00,11,100.00,81,unhealthy
2025-05-17 08:13:25,0.00,11,100.00,55,unhealthy
2025-05-17 08:13:33,0.00,11,100.00,12,unhealthy
2025-05-17 08:13:36,0.00,11,100.00,8,unhealthy
2025-05-17 08:13:39,0.00,11,100.00,14,unhealthy
2025-05-17 08:13:42,0.00,11,100.00,15,unhealthy
2025-05-17 08:13:46,0.00,11,100.00,14,unhealthy
2025-05-17 08:13:49,0.00,11,100.00,12,unhealthy
2025-05-17 08:13:52,0.00,11,100.00,11,unhealthy
2025-05-17 08:13:55,0.00,11,100.00,8,unhealthy
2025-05-17 08:13:58,0.00,11,100.00,12,unhealthy
2025-05-17 08:14:01,0.00,11,100.00,16,unhealthy
2025-05-17 08:14:05,0.00,11,100.00,10,unhealthy
2025-05-17 08:14:08,0.00,11,100.00,14,unhealthy
2025-05-17 08:14:11,0.00,11,100.00,11,unhealthy
2025-05-17 08:14:15,0.00,11,100.00,215,unhealthy
2025-05-17 08:14:20,0.00,11,100.00,215,unhealthy
2025-05-17 08:14:24,0.00,11,100.00,129,unhealthy
2025-05-17 08:14:27,0.00,11,100.00,153,unhealthy
2025-05-17 08:14:32,0.00,11,100.00,229,unhealthy
2025-05-17 08:14:44,0.00,11,100.00,13,unhealthy
2025-05-17 08:15:08,101.79,448.6,43.81,9242,unhealthy
2025-05-17 08:15:22,102.71,1024,100.00,1823,unhealthy
2025-05-17 08:15:36,0.00,11,100.00,18,unhealthy
2025-05-17 08:16:02,104.49,283,27.64,11185,unhealthy
2025-05-17 08:16:17,0.00,11,100.00,1522,healthy
2025-05-17 08:16:29,0.00,11,100.00,10,unhealthy
2025-05-17 08:16:43,0.00,11,100.00,843,healthy
2025-05-17 08:16:56,0.00,11,100.00,23,unhealthy
2025-05-17 08:17:10,0.00,11,100.00,10,unhealthy
2025-05-17 08:17:23,0.00,11,100.00,14,unhealthy
2025-05-17 08:17:38,0.00,11,100.00,35,unhealthy
2025-05-17 08:18:01,92.10,1024,100.00,20,unhealthy
2025-09-16 10:31:58,32.99,97.67,9.54,2201,unhealthy
2025-09-16 10:32:03,0.00,11,100.00,7,unhealthy
2025-09-16 10:32:14,0.00,11,100.00,3310,unhealthy
